servicio,organizacion,fecha,stb,movil
GOTV,VV,2026-01-07,2445,210
GOTV,Chumbicha,2026-01-07,387,38
GOTV,Tinogasta,2026-01-07,313,61
GOTV,Fiambalá,2026-01-07,130,3
GOTV,El Rodeo,2026-01-07,316,15
GOTV,La Puerta,2026-01-07,130,1
GOTV,VV,2026-02-12,2540,212
GOTV,Chumbicha,2026-02-12,393,38
GOTV,Tinogasta,2026-02-12,339,58
GOTV,Fiambalá,2026-02-12,249,3
GOTV,El Rodeo,2026-02-12,342,18
GOTV,La Puerta,2026-02-12,147,1
GOTV,VV,2026-03-20,2520,230
GOTV,Chumbicha,2026-03-20,399,40
GOTV,Tinogasta,2026-03-20,372,62
GOTV,Fiambalá,2026-03-20,278,3
GOTV,El Rodeo,2026-03-20,328,17
GOTV,La Puerta,2026-03-20,136,1
GOTV,VV,2026-04-13,2731,245
GOTV,Chumbicha,2026-04-13,421,43
GOTV,Tinogasta,2026-04-13,402,69
GOTV,Fiambalá,2026-04-13,309,9
GOTV,El Rodeo,2026-04-13,341,17
GOTV,La Puerta,2026-04-13,149,2
ViewTV,La Rioja,2025-10-22,14125,1447
ViewTV,La Rioja,2026-02-12,15955,1454
ViewTV,La Rioja,2026-04-13,17122,1527
ViewTV,La Rioja,2026-04-27,17504,1576
GOTV,VV,2026-04-27,2754,250
GOTV,Chumbicha,2026-04-27,423,43
GOTV,Tinogasta,2026-04-27,418,69
GOTV,Fiambalá,2026-04-27,323,5
GOTV,El Rodeo,2026-04-27,335,15
GOTV,La Puerta,2026-04-27,147,2
